Delta Test,T,Method,Repeat,Estimated_R_delta,True_R_delta,MSE
0.1,5000,DRO-IPW,5,0.4788432998569512,0.4053099105768362,0.00540715933902093
0.1,5000,LDR2PE-CP,6,0.3797107185130507,0.4053099105768362,0.0006553186343185769
0.1,5000,DRO-IPW,6,0.451040229445023,0.4053099105768362,0.002091262063786041
0.1,5000,LDR2PE-CP,7,0.4301867990071453,0.4053099105768362,0.0006188595779740471
0.1,5000,DRO-IPW,7,0.498484843618605,0.4053099105768362,0.008681568147338104
0.1,5000,LDR2PE-CP,8,0.4157594998298996,0.4053099105768362,0.00010919391555773895
0.1,5000,DRO-IPW,8,0.4872680685500532,0.4053099105768362,0.0067171396583628
0.1,5000,LDR2PE-CP,9,0.4303345699476979,0.4053099105768362,0.0006262335766276581
0.1,5000,DRO-IPW,9,0.44820986899245907,0.4053099105768362,0.0018404064320621729
0.1,5000,LDR2PE-CP,10,0.39812140759512793,0.4053099105768362,5.1674575118028484e-05
0.1,5000,DRO-IPW,10,0.46356090780389214,0.4053099105768362,0.003393178677946481
0.1,5000,LDR2PE-CP,11,0.3734687460725483,0.4053099105768362,0.0010138597569891215
0.1,5000,DRO-IPW,11,0.43489664624187274,0.4053099105768362,0.0008753749273127462
0.1,5000,LDR2PE-CP,12,0.41752248769294975,0.4053099105768362,0.00014914703981702072
0.1,5000,DRO-IPW,12,0.5134844804598251,0.4053099105768362,0.011701737569369649
0.1,5000,LDR2PE-CP,13,0.4397274131926854,0.4053099105768362,0.001184564486311986
0.1,5000,DRO-IPW,13,0.4967238214650871,0.4053099105768362,0.008356503103885077
0.1,5000,LDR2PE-CP,14,0.3939059547186402,0.4053099105768362,0.00013005020921568242
0.1,5000,DRO-IPW,14,0.4522856512031633,0.4053099105768362,0.0022067202073919575
0.1,5000,LDR2PE-CP,15,0.4040096813644386,0.4053099105768362,1.6905960047720458e-06
0.1,5000,DRO-IPW,15,0.44972708088923163,0.4053099105768362,0.0019728850185603435
0.1,5000,LDR2PE-CP,16,0.40294708903281146,0.4053099105768362,5.582925648907405e-06
0.1,5000,DRO-IPW,16,0.4531530996368078,0.4053099105768362,0.0022889707394281853
0.1,5000,LDR2PE-CP,17,0.3948532925625309,0.4053099105768362,0.00010934086029709428
0.1,5000,DRO-IPW,17,0.4474041305107796,0.4053099105768362,0.0017719233518471988
0.1,5000,LDR2PE-CP,18,0.3673441167543509,0.4053099105768362,0.001441401500571461
