Delta Test,T,Method,Repeat,Estimated_R_delta,True_R_delta,MSE
0.1,3000,DRO-IPW,7,0.4336454579656286,0.4053099105768362,0.0008029032458225
0.1,3000,LDR2PE-CP,8,0.39811094948064,0.4053099105768362,5.1825040864545904e-05
0.1,3000,DRO-IPW,8,0.4603248728025965,0.4053099105768362,0.003026646068701833
0.1,3000,LDR2PE-CP,9,0.42974254798971034,0.4053099105768362,0.000596953770948978
0.1,3000,DRO-IPW,9,0.47998404066323364,0.4053099105768362,0.005576225704160209
0.1,3000,LDR2PE-CP,10,0.4433021997930593,0.4053099105768362,0.0014434140398891426
0.1,3000,DRO-IPW,10,0.49964992315814066,0.4053099105768362,0.008900037973840686
0.1,3000,LDR2PE-CP,11,0.4231659839023272,0.4053099105768362,0.00031883935460531106
0.1,3000,DRO-IPW,11,0.47145818084340707,0.4053099105768362,0.004375593659259306
0.1,3000,LDR2PE-CP,12,0.36890353927802744,0.4053099105768362,0.0013254238711467253
0.1,3000,DRO-IPW,12,0.4393512984630771,0.4053099105768362,0.0011588160892215082
0.1,3000,LDR2PE-CP,13,0.3919855437886127,0.4053099105768362,0.00017753875030711243
0.1,3000,DRO-IPW,13,0.39264733079027725,0.4053099105768362,0.00016034092685097095
